mu,seed,cell_id,n,k
0.2,0,0,833,572
0.2,0,1,199,95
0.2,0,2,801,659
0.2,0,3,196,123
0.2,0,4,787,762
0.2,0,5,214,152
0.2,0,6,748,438
0.2,0,7,203,91
0.2,0,8,803,623
0.2,0,9,217,142
0.2,0,10,814,743
0.2,0,11,185,138
0.2,1,0,787,513
0.2,1,1,181,70
0.2,1,2,806,646
0.2,1,3,210,128
0.2,1,4,841,816
0.2,1,5,191,145
0.2,1,6,793,473
0.2,1,7,194,90
0.2,1,8,800,601
0.2,1,9,195,121
0.2,1,10,807,727
0.2,1,11,195,146
0.2,2,0,804,538
0.2,2,1,206,90
0.2,2,2,804,671
0.2,2,3,205,123
0.2,2,4,782,758
0.2,2,5,218,159
0.2,2,6,792,481
0.2,2,7,200,101
0.2,2,8,811,617
0.2,2,9,197,122
0.2,2,10,795,732
0.2,2,11,186,159
0.2,3,0,794,550
0.2,3,1,192,90
0.2,3,2,829,686
0.2,3,3,192,113
0.2,3,4,799,772
0.2,3,5,202,152
0.2,3,6,786,472
0.2,3,7,186,98
0.2,3,8,764,596
0.2,3,9,213,132
0.2,3,10,836,766
0.2,3,11,207,166
0.2,4,0,853,568
0.2,4,1,212,85
0.2,4,2,776,634
0.2,4,3,221,119
0.2,4,4,777,751
0.2,4,5,230,162
0.2,4,6,763,457
0.2,4,7,178,88
0.2,4,8,805,588
0.2,4,9,193,124
0.2,4,10,786,727
0.2,4,11,206,160
0.2,5,0,788,542
0.2,5,1,214,104
0.2,5,2,783,647
0.2,5,3,215,118
0.2,5,4,752,733
0.2,5,5,182,134
0.2,5,6,798,478
0.2,5,7,209,108
0.2,5,8,864,664
0.2,5,9,214,131
0.2,5,10,768,693
0.2,5,11,213,182
0.2,6,0,822,558
0.2,6,1,204,80
0.2,6,2,854,705
0.2,6,3,179,111
0.2,6,4,831,807
0.2,6,5,174,130
0.2,6,6,735,442
0.2,6,7,197,109
0.2,6,8,808,595
0.2,6,9,220,145
0.2,6,10,786,704
0.2,6,11,190,152
0.2,7,0,799,542
0.2,7,1,189,90
0.2,7,2,758,625
0.2,7,3,206,111
0.2,7,4,817,788
0.2,7,5,200,145
0.2,7,6,816,488
0.2,7,7,201,99
0.2,7,8,811,609
0.2,7,9,223,131
0.2,7,10,795,730
0.2,7,11,185,141
0.2,8,0,772,510
0.2,8,1,193,81
0.2,8,2,823,670
0.2,8,3,208,127
0.2,8,4,784,759
0.2,8,5,204,145
0.2,8,6,807,481
0.2,8,7,207,104
0.2,8,8,790,621
0.2,8,9,210,137
0.2,8,10,779,707
0.2,8,11,223,174
0.2,9,0,819,524
0.2,9,1,204,89
0.2,9,2,800,656
0.2,9,3,188,105
0.2,9,4,829,810
0.2,9,5,176,128
0.2,9,6,847,513
0.2,9,7,189,83
0.2,9,8,765,589
0.2,9,9,189,126
0.2,9,10,807,741
0.2,9,11,187,150
0.2,10,0,727,491
0.2,10,1,212,90
0.2,10,2,840,689
0.2,10,3,194,102
0.2,10,4,802,781
0.2,10,5,205,148
0.2,10,6,778,475
0.2,10,7,186,95
0.2,10,8,798,612
0.2,10,9,197,123
0.2,10,10,837,760
0.2,10,11,224,177
0.2,11,0,783,526
0.2,11,1,225,92
0.2,11,2,760,609
0.2,11,3,201,109
0.2,11,4,748,732
0.2,11,5,207,155
0.2,11,6,853,537
0.2,11,7,187,97
0.2,11,8,833,634
0.2,11,9,207,133
0.2,11,10,787,719
0.2,11,11,209,162
0.2,12,0,768,512
0.2,12,1,204,95
0.2,12,2,818,668
0.2,12,3,182,112
0.2,12,4,777,763
0.2,12,5,201,141
0.2,12,6,819,502
0.2,12,7,197,101
0.2,12,8,821,625
0.2,12,9,177,121
0.2,12,10,849,765
0.2,12,11,187,155
0.2,13,0,791,489
0.2,13,1,178,75
0.2,13,2,851,702
0.2,13,3,190,121
0.2,13,4,781,755
0.2,13,5,208,145
0.2,13,6,830,537
0.2,13,7,204,101
0.2,13,8,768,570
0.2,13,9,228,134
0.2,13,10,790,719
0.2,13,11,181,141
0.2,14,0,806,557
0.2,14,1,176,79
0.2,14,2,807,684
0.2,14,3,196,111
0.2,14,4,812,783
0.2,14,5,203,144
0.2,14,6,784,475
0.2,14,7,236,114
0.2,14,8,781,580
0.2,14,9,210,130
0.2,14,10,808,743
0.2,14,11,181,140
0.2,15,0,808,543
0.2,15,1,212,86
0.2,15,2,830,686
0.2,15,3,188,110
0.2,15,4,775,754
0.2,15,5,198,144
0.2,15,6,754,453
0.2,15,7,213,106
0.2,15,8,800,614
0.2,15,9,194,129
0.2,15,10,829,746
0.2,15,11,199,151
0.2,16,0,819,554
0.2,16,1,194,76
0.2,16,2,842,706
0.2,16,3,178,90
0.2,16,4,770,749
0.2,16,5,188,143
0.2,16,6,752,451
0.2,16,7,185,79
0.2,16,8,842,627
0.2,16,9,217,134
0.2,16,10,815,743
0.2,16,11,198,154
0.2,17,0,807,530
0.2,17,1,212,77
0.2,17,2,792,641
0.2,17,3,201,119
0.2,17,4,754,733
0.2,17,5,197,145
0.2,17,6,765,454
0.2,17,7,216,104
0.2,17,8,830,628
0.2,17,9,200,137
0.2,17,10,826,746
0.2,17,11,200,156
0.2,18,0,791,537
0.2,18,1,210,88
0.2,18,2,817,672
0.2,18,3,215,115
0.2,18,4,778,759
0.2,18,5,208,148
0.2,18,6,773,476
0.2,18,7,202,99
0.2,18,8,837,648
0.2,18,9,195,120
0.2,18,10,769,701
0.2,18,11,205,157
0.2,19,0,782,506
0.2,19,1,210,83
0.2,19,2,786,641
0.2,19,3,190,110
0.2,19,4,804,775
0.2,19,5,191,131
0.2,19,6,818,493
0.2,19,7,201,92
0.2,19,8,785,595
0.2,19,9,200,119
0.2,19,10,829,752
0.2,19,11,204,167
0.2,20,0,796,514
0.2,20,1,191,89
0.2,20,2,829,715
0.2,20,3,178,104
0.2,20,4,828,806
0.2,20,5,175,131
0.2,20,6,818,504
0.2,20,7,180,83
0.2,20,8,794,610
0.2,20,9,212,146
0.2,20,10,796,723
0.2,20,11,203,155
0.2,21,0,777,523
0.2,21,1,188,89
0.2,21,2,800,652
0.2,21,3,216,138
0.2,21,4,748,729
0.2,21,5,194,145
0.2,21,6,830,495
0.2,21,7,208,94
0.2,21,8,758,585
0.2,21,9,214,137
0.2,21,10,837,763
0.2,21,11,230,188
0.2,22,0,817,573
0.2,22,1,186,74
0.2,22,2,780,628
0.2,22,3,188,111
0.2,22,4,848,821
0.2,22,5,209,162
0.2,22,6,767,438
0.2,22,7,214,114
0.2,22,8,778,593
0.2,22,9,213,120
0.2,22,10,810,731
0.2,22,11,190,147
0.2,23,0,817,549
0.2,23,1,201,94
0.2,23,2,800,644
0.2,23,3,202,119
0.2,23,4,823,795
0.2,23,5,205,147
0.2,23,6,769,490
0.2,23,7,200,98
0.2,23,8,796,594
0.2,23,9,203,123
0.2,23,10,802,733
0.2,23,11,182,144
0.2,24,0,803,550
0.2,24,1,210,95
0.2,24,2,809,687
0.2,24,3,216,129
0.2,24,4,822,800
0.2,24,5,201,143
0.2,24,6,769,464
0.2,24,7,208,109
0.2,24,8,805,607
0.2,24,9,183,123
0.2,24,10,794,713
0.2,24,11,180,136
0.2,25,0,812,522
0.2,25,1,198,87
0.2,25,2,788,654
0.2,25,3,227,133
0.2,25,4,792,772
0.2,25,5,192,146
0.2,25,6,780,450
0.2,25,7,205,110
0.2,25,8,801,615
0.2,25,9,211,133
0.2,25,10,791,703
0.2,25,11,203,163
0.2,26,0,824,570
0.2,26,1,184,73
0.2,26,2,790,640
0.2,26,3,176,108
0.2,26,4,836,809
0.2,26,5,211,166
0.2,26,6,737,459
0.2,26,7,205,108
0.2,26,8,811,614
0.2,26,9,195,118
0.2,26,10,838,766
0.2,26,11,193,149
0.2,27,0,835,548
0.2,27,1,195,80
0.2,27,2,785,645
0.2,27,3,187,121
0.2,27,4,819,796
0.2,27,5,201,135
0.2,27,6,760,461
0.2,27,7,193,88
0.2,27,8,777,637
0.2,27,9,217,140
0.2,27,10,804,724
0.2,27,11,227,178
0.2,28,0,770,505
0.2,28,1,194,96
0.2,28,2,803,663
0.2,28,3,193,115
0.2,28,4,801,770
0.2,28,5,236,160
0.2,28,6,788,463
0.2,28,7,226,118
0.2,28,8,789,590
0.2,28,9,194,118
0.2,28,10,820,749
0.2,28,11,186,157
0.2,29,0,777,519
0.2,29,1,215,94
0.2,29,2,810,668
0.2,29,3,205,119
0.2,29,4,787,771
0.2,29,5,227,159
0.2,29,6,828,484
0.2,29,7,207,106
