cell_id,regime,state,action,probability,raw_score,target_mass
0,0,0.55,0,0.67,0.6179299894324832,0.03333333333333333
1,0,0.55,1,0.43000000000000005,0.6179299894324832,0.13333333333333333
2,0,0.7,0,0.82,0.7728356308608324,0.03333333333333333
3,0,0.7,1,0.58,0.7728356308608324,0.13333333333333333
4,0,0.85,0,0.97,0.9042002879161075,0.03333333333333333
5,0,0.85,1,0.73,0.9042002879161075,0.13333333333333333
6,1,0.55,0,0.6100000000000001,0.5201818539321497,0.03333333333333333
7,1,0.55,1,0.49000000000000005,0.5201818539321497,0.13333333333333333
8,1,0.7,0,0.76,0.6951679579680455,0.03333333333333333
9,1,0.7,1,0.6399999999999999,0.6951679579680455,0.13333333333333333
10,1,0.85,0,0.9099999999999999,0.863514371064374,0.03333333333333333
11,1,0.85,1,0.79,0.863514371064374,0.13333333333333333
